LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
YK9RY5K9LX,40,112418,87473,656,98,3,23.04,48,0.55,Master's,Part-time,Single,No,No,Education,Yes,0
0EYXEKR70G,18,38360,82326,625,42,1,6.49,48,0.6,High School,Part-time,Single,No,No,Home,No,0
FOIGDXBHCF,63,31113,186186,420,6,4,24.09,48,0.32,Bachelor's,Unemployed,Single,No,No,Business,No,0
NA9VQZNJYY,63,34243,18026,811,37,4,16.84,12,0.25,High School,Full-time,Divorced,Yes,Yes,Home,Yes,0
56XLS6Z2K4,49,71283,155289,758,113,4,18.94,12,0.73,PhD,Part-time,Divorced,No,Yes,Auto,No,0
3MC8D5G4H6,47,28990,14457,833,50,2,6.56,48,0.85,High School,Part-time,Married,No,No,Auto,No,0
NQQBSUTZH2,31,17699,249905,358,58,3,13.08,12,0.75,PhD,Part-time,Divorced,No,Yes,Other,No,1
KV3UI0AOCQ,51,72140,15843,550,94,2,22.13,24,0.48,Bachelor's,Full-time,Married,No,No,Other,No,1
BTKXHTE6BA,27,146881,145745,316,20,4,4.3,48,0.26,Master's,Part-time,Divorced,Yes,Yes,Auto,Yes,0
SR4FDLICR6,44,93190,107307,489,66,3,24.43,12,0.85,PhD,Self-employed,Married,No,No,Other,Yes,0
0CL0I2FDWK,51,69652,143550,456,2,4,3.65,48,0.49,High School,Unemployed,Divorced,No,No,Education,No,0
11L5K4EKLH,24,60782,247575,336,80,3,7.71,48,0.74,Bachelor's,Part-time,Single,No,Yes,Auto,Yes,0
N3QCLPA93N,67,25067,12963,425,38,2,4.6,60,0.84,Bachelor's,Part-time,Divorced,Yes,Yes,Other,No,0
LXEJXS26E1,28,126071,247480,795,35,2,2.66,48,0.11,Bachelor's,Self-employed,Divorced,No,Yes,Home,Yes,0
GM2F9P9A3M,41,140884,198177,376,85,4,15.18,24,0.69,Master's,Unemployed,Divorced,Yes,Yes,Other,Yes,0
Q1EUY6OJ3S,37,127762,27069,518,9,4,6.38,12,0.61,Master's,Full-time,Divorced,Yes,No,Auto,Yes,0
J9UBHOJ53X,50,93914,49392,690,98,3,10.81,24,0.83,High School,Unemployed,Divorced,Yes,Yes,Other,Yes,0
NWFMD9HSZ2,63,87298,210066,734,11,2,23.97,24,0.64,Bachelor's,Part-time,Divorced,Yes,No,Other,No,0
SOZQTSYGN9,51,30085,177115,797,58,1,18.17,60,0.17,Master's,Unemployed,Divorced,Yes,Yes,Other,Yes,0
635G8NQPYT,64,62234,216851,566,92,1,12.96,48,0.82,High School,Part-time,Single,No,Yes,Education,No,0
MMJVH8CXKM,27,63154,103329,537,34,1,8.23,48,0.59,Bachelor's,Full-time,Single,Yes,Yes,Business,Yes,0
MCREY1W4PZ,21,129141,84353,715,17,3,7.93,60,0.66,PhD,Part-time,Married,Yes,Yes,Home,No,0
Q0RN91X70V,24,149931,163327,410,60,1,20.46,36,0.27,Master's,Full-time,Single,No,Yes,Auto,Yes,0
8FDT000SNA,28,80691,59056,542,102,4,2.78,48,0.15,Bachelor's,Full-time,Divorced,Yes,Yes,Education,Yes,1
8SWRRBBQC9,18,117074,178635,777,39,4,10.63,48,0.46,Master's,Full-time,Single,Yes,No,Home,No,1
HG8MJJUOCN,47,37090,41646,568,62,3,4.66,36,0.56,Bachelor's,Unemployed,Divorced,No,Yes,Home,Yes,0
INXKKS6TEQ,19,24015,84984,741,35,3,16.7,24,0.6,PhD,Self-employed,Married,Yes,Yes,Business,No,1
R5RDV6VYFZ,37,42594,245931,304,86,2,16.02,60,0.39,High School,Full-time,Single,No,No,Business,Yes,0
OVU35M6S59,63,18577,192767,514,111,3,19.47,48,0.29,PhD,Full-time,Married,No,No,Business,Yes,0
O5Q27VH30A,30,108088,106640,376,1,4,20.56,60,0.48,PhD,Unemployed,Married,Yes,Yes,Education,Yes,1
JCC0506DIO,46,117618,232132,362,41,4,21.45,12,0.36,Master's,Full-time,Single,No,No,Education,Yes,0
USF9PAZQL0,53,138852,204178,618,0,4,8.63,24,0.56,High School,Unemployed,Married,No,Yes,Other,No,1
46YOQ4DEFY,48,68928,189792,448,54,4,5.63,36,0.3,High School,Unemployed,Divorced,No,No,Home,No,0
36W6FUZWW5,27,29878,52068,388,91,3,22.33,48,0.77,Bachelor's,Part-time,Married,Yes,Yes,Home,Yes,0
CRF2ORQ4TR,67,122452,243696,456,3,1,15.57,24,0.4,High School,Self-employed,Divorced,No,No,Auto,No,1
5X5SMF1TJR,32,45770,73234,504,25,4,16.58,24,0.84,Master's,Full-time,Divorced,No,No,Business,Yes,1
3U3QNZN8DX,68,60510,91975,767,87,4,22.55,36,0.11,High School,Full-time,Single,No,No,Business,No,0
RQUUZPGSBQ,66,99175,221951,505,114,2,19.28,60,0.21,High School,Unemployed,Married,Yes,No,Other,Yes,0
C6GG7F3U2F,59,140700,12848,822,90,1,15.04,60,0.84,High School,Unemployed,Single,Yes,Yes,Education,Yes,0
5I1JUEGREB,40,81489,230512,624,71,2,19.14,36,0.86,PhD,Unemployed,Married,No,Yes,Home,Yes,0
E4FZCK7SVQ,48,74927,53971,588,118,2,4.95,12,0.7,Master's,Full-time,Single,No,Yes,Home,No,0
L58NSBGYB0,21,63327,97216,432,6,1,7.04,36,0.48,PhD,Unemployed,Single,No,No,Other,Yes,0
QW8DMBG1JC,30,118420,24959,773,78,1,24.74,36,0.24,Bachelor's,Self-employed,Single,No,Yes,Education,Yes,0
K3S4KOYOHF,47,98205,48260,530,84,3,7.32,12,0.68,Bachelor's,Part-time,Married,Yes,No,Business,No,0
MS2FLZVMH2,20,115361,218665,568,48,2,22.96,12,0.67,High School,Self-employed,Divorced,Yes,Yes,Home,No,0
XDXZFTXW9H,64,84918,145227,709,24,3,24.7,36,0.43,PhD,Self-employed,Married,No,Yes,Education,No,0
TWJ0WPSI65,37,137838,164072,700,56,3,11.86,48,0.33,Master's,Part-time,Married,Yes,Yes,Business,Yes,0
VL01RLJ5TW,58,48640,132072,628,40,3,23.91,48,0.7,Bachelor's,Full-time,Single,No,No,Education,Yes,1
OBQFYFRW8O,46,133062,226091,786,103,4,17.49,24,0.84,High School,Self-employed,Married,Yes,Yes,Education,Yes,0
Z6KVJ19BKG,26,89718,223721,380,8,1,20.6,12,0.55,PhD,Self-employed,Married,Yes,Yes,Auto,No,1
K3FI6VFPMM,40,135918,120225,533,80,3,15.6,24,0.4,PhD,Unemployed,Divorced,Yes,Yes,Education,No,0
J8TEQ9S7NI,30,82836,63871,814,14,1,14.46,12,0.88,Master's,Self-employed,Single,Yes,No,Business,No,0
E9J3G8Q81V,22,138464,113201,659,73,1,2.66,48,0.88,Bachelor's,Self-employed,Divorced,No,No,Home,Yes,0
AEBHJED742,47,25809,245337,327,53,1,6.71,48,0.31,Bachelor's,Self-employed,Single,No,Yes,Other,Yes,1
9UEOO8Z5TE,66,107175,76143,798,114,4,3.44,12,0.59,PhD,Full-time,Married,Yes,Yes,Other,No,0
GL9YNIFEXH,55,137291,78028,350,96,1,5.12,24,0.24,High School,Unemployed,Single,No,Yes,Home,No,0
1U5JHHTYG9,49,15091,131530,634,32,1,7.38,36,0.85,High School,Self-employed,Married,No,Yes,Other,No,0
8I8E583I3R,48,50308,181495,820,52,2,22.51,60,0.38,Master's,Unemployed,Married,Yes,Yes,Education,No,0
3CPK9CPZ6T,22,142633,234832,782,82,1,22.21,60,0.71,PhD,Part-time,Married,No,No,Education,Yes,0
4BFJ1FEXMU,53,133490,210025,754,62,1,15.35,12,0.2,Master's,Unemployed,Divorced,No,Yes,Other,Yes,0
U8Y5N6RIQI,31,87152,138033,694,14,1,23.25,48,0.27,Master's,Part-time,Divorced,No,Yes,Business,Yes,0
Y0EUTG8CNV,20,99479,137916,396,10,1,4.68,12,0.12,Bachelor's,Full-time,Divorced,No,Yes,Auto,No,0
YKNNN9XKNW,41,119033,54626,426,54,4,17.6,60,0.67,High School,Full-time,Single,No,Yes,Education,No,0
3TCLTCG0ET,41,28675,199553,619,43,4,4.52,48,0.9,Master's,Part-time,Married,No,Yes,Business,No,0
W5BR2MNIF1,44,65375,16112,369,28,1,17.98,24,0.85,Master's,Full-time,Married,Yes,No,Home,Yes,0
P53U8GXZ0A,67,29980,47246,576,83,1,18.89,48,0.14,Bachelor's,Unemployed,Single,Yes,No,Business,No,0
U20K866L2U,28,33272,248652,396,88,2,16.11,36,0.31,Bachelor's,Full-time,Single,Yes,Yes,Education,No,0
GZPRUOZD83,21,146676,48974,593,44,3,23.73,24,0.67,PhD,Part-time,Divorced,Yes,Yes,Business,No,1
A878O1FQV5,28,73099,248372,472,43,2,14.73,12,0.83,High School,Full-time,Single,Yes,No,Other,Yes,0
P03MQZZIKD,36,114746,181902,749,59,2,5.1,36,0.78,PhD,Full-time,Single,No,Yes,Business,No,0
Z9RWFWS9QD,45,58908,10676,571,113,4,12.68,12,0.81,High School,Unemployed,Single,No,No,Auto,No,0
AHFXXP457H,25,136446,122344,748,75,2,7.02,36,0.7,Master's,Full-time,Single,Yes,No,Auto,No,0
3LHP5E2LVH,31,60134,171910,586,103,4,17.02,36,0.6,Master's,Part-time,Divorced,No,No,Auto,No,0
6O1ZSR6HJZ,34,105871,29716,317,9,1,4.36,12,0.41,PhD,Part-time,Married,No,No,Business,No,0
SL0JGFL9FZ,53,149466,191552,752,73,2,8.82,24,0.13,High School,Full-time,Single,No,Yes,Education,No,0
TYVVEZZ42O,52,37000,236673,796,13,1,19.37,48,0.27,High School,Full-time,Married,No,Yes,Home,Yes,1
F8IVJXD4HO,32,53493,205344,425,91,4,18.92,60,0.4,Bachelor's,Unemployed,Single,Yes,No,Home,Yes,0
B7XZIUA9LH,56,18632,209434,373,9,4,12.77,60,0.47,PhD,Part-time,Divorced,No,No,Education,No,1
UXLT7FH3S5,50,81508,149053,537,109,3,2.65,24,0.26,High School,Part-time,Married,Yes,No,Other,Yes,0
PC712EVKIJ,53,46600,143464,472,111,2,20.16,60,0.65,High School,Unemployed,Divorced,No,No,Home,No,0
9E2NFVMXP8,26,64295,242362,449,87,1,8.88,48,0.52,High School,Self-employed,Single,No,Yes,Education,Yes,0
0ODOMAWIZZ,63,53141,229316,413,2,2,22.77,60,0.75,Bachelor's,Self-employed,Divorced,Yes,No,Auto,No,0
F8T6JTU7GI,44,99728,71749,508,15,2,10.29,48,0.17,Master's,Full-time,Divorced,No,Yes,Business,Yes,0
RPQT70DLXX,32,100203,206201,672,41,2,3.76,36,0.61,High School,Unemployed,Married,Yes,Yes,Home,No,0
MKRFI9DW66,38,19441,154701,380,12,2,13.56,60,0.49,Master's,Unemployed,Married,No,Yes,Other,Yes,0
CXA5DN5TCZ,32,124521,231492,372,109,4,9.02,48,0.41,Bachelor's,Unemployed,Single,No,Yes,Auto,No,0
STP2VNB15V,42,117106,188322,802,27,3,2.62,24,0.53,Bachelor's,Self-employed,Divorced,Yes,Yes,Other,No,0
HQF2XIFIGR,53,78885,90869,348,6,1,18.33,60,0.38,Bachelor's,Self-employed,Single,No,No,Home,No,0
7BWREONC22,27,109650,27210,307,1,4,12.43,48,0.71,Bachelor's,Self-employed,Single,No,No,Education,Yes,0
FV6K4NMJFN,22,142762,231497,705,1,2,13.68,24,0.85,Master's,Full-time,Single,No,Yes,Auto,No,0
Q95VEKQESG,51,94312,205499,726,34,3,4.97,36,0.33,PhD,Full-time,Married,No,Yes,Business,Yes,0
44J2WAFG4X,28,144447,249204,666,85,4,6.5,12,0.43,Master's,Unemployed,Single,Yes,Yes,Business,No,0
HHQVBSXSSV,64,43902,140854,819,114,2,23.05,24,0.88,Bachelor's,Self-employed,Single,Yes,No,Education,Yes,0
ALI7KLUII3,39,127215,25227,355,13,1,24.3,60,0.43,Master's,Unemployed,Single,Yes,No,Business,Yes,0
C96VSYSOEQ,32,83248,88184,310,29,4,19.03,48,0.49,PhD,Full-time,Divorced,Yes,No,Business,Yes,1
Q2G54IRCXX,33,17205,194520,818,102,4,7.62,60,0.76,Bachelor's,Unemployed,Single,No,No,Education,Yes,1
8DFRWZW6VC,37,139324,170098,464,10,4,13.68,36,0.52,Master's,Full-time,Single,Yes,No,Education,No,0
TLJ7UUXPZ0,43,143099,125893,556,72,2,19.04,24,0.18,High School,Unemployed,Divorced,Yes,No,Education,Yes,0
87AMTEITMG,47,45426,223961,617,21,2,15.23,36,0.43,High School,Unemployed,Married,No,No,Education,No,0
9KX6IJKTLF,58,45034,46572,783,9,2,10.42,60,0.5,High School,Unemployed,Divorced,No,No,Home,No,0
1MHJF4PB9E,35,147938,146064,494,10,4,19.03,24,0.47,High School,Part-time,Divorced,No,Yes,Home,No,0
W5LVUO074X,61,15539,94018,787,89,1,18.29,36,0.38,Master's,Full-time,Married,No,Yes,Business,No,0
SWPAGDIHW9,52,70748,96987,320,54,1,15.55,60,0.22,Master's,Self-employed,Divorced,Yes,No,Education,No,0
0EYXZA6O4G,25,58166,48209,444,16,4,16.79,12,0.23,Master's,Unemployed,Divorced,Yes,Yes,Business,Yes,0
B8QRGJQ1Y9,18,130275,17274,317,116,3,10.6,60,0.66,Master's,Self-employed,Married,No,Yes,Business,Yes,0
PYORN0CU5B,41,103888,66408,363,1,1,8.82,24,0.48,PhD,Part-time,Single,Yes,No,Education,No,0
RT5JAMPQ2M,68,139131,100524,303,66,1,20.81,60,0.69,High School,Self-employed,Married,No,No,Auto,No,0
GJIIH9HJ3H,34,47435,243548,641,111,3,19.64,60,0.79,Master's,Part-time,Married,Yes,No,Business,Yes,0
MIWJAEN2NV,49,85765,133493,702,36,4,6.12,24,0.53,Bachelor's,Unemployed,Married,No,Yes,Other,No,0
TER8WMWLQ5,60,132978,94843,582,99,2,21.78,36,0.33,PhD,Full-time,Single,No,Yes,Auto,No,0
PA26ZHYMUJ,52,35469,103636,452,22,1,10.22,48,0.61,High School,Self-employed,Married,No,Yes,Home,Yes,0
3SR6SLL4FC,55,112387,162542,791,34,3,8.99,36,0.44,High School,Part-time,Divorced,No,Yes,Education,Yes,0
41X7I1BR5G,31,59672,177605,451,107,2,16.28,24,0.19,Bachelor's,Self-employed,Divorced,No,Yes,Auto,Yes,0
NG3TKK6ZM9,62,143814,82925,521,119,3,4.59,36,0.78,Bachelor's,Full-time,Single,Yes,Yes,Auto,Yes,0
GVD7ARZW99,34,44710,112966,401,61,1,11.76,60,0.19,PhD,Unemployed,Divorced,No,No,Education,No,0
O9AP93WBAS,66,42552,169484,525,56,1,10.86,60,0.6,Master's,Part-time,Married,No,No,Auto,Yes,0
E82WXDMFIM,68,87992,31494,565,79,3,20.9,24,0.55,High School,Unemployed,Single,No,Yes,Education,No,0
T3LSMSFJZZ,45,113835,18541,446,97,1,8.58,36,0.5,High School,Unemployed,Divorced,No,Yes,Home,Yes,0
0AS6D3TKG1,44,86743,215833,442,76,3,10.04,60,0.32,High School,Self-employed,Divorced,Yes,Yes,Education,Yes,0
Q8K9OELXBL,19,74472,41976,539,39,4,23.72,48,0.76,High School,Self-employed,Divorced,No,Yes,Home,No,1
JWAZZA1CZ4,25,111645,89618,394,86,3,22.64,60,0.77,Bachelor's,Part-time,Married,Yes,No,Business,Yes,1
UFV2VA8M3S,39,123007,191107,582,70,2,17.52,36,0.84,High School,Unemployed,Married,No,Yes,Home,Yes,0
KGZ9H9Y2VC,27,146700,239507,392,23,4,21.08,12,0.19,PhD,Full-time,Divorced,Yes,No,Business,No,0
AECLYIFZRH,47,40226,189564,525,36,1,12.26,24,0.9,High School,Unemployed,Divorced,No,No,Education,No,0
KFQBHFOW5W,40,132865,29975,747,98,4,24.38,36,0.64,PhD,Unemployed,Single,No,Yes,Education,Yes,0
8618RVE4AG,36,82789,86779,625,10,1,4.79,12,0.21,PhD,Part-time,Married,Yes,Yes,Education,No,0
J8BESDKPZZ,58,67395,135332,438,31,4,5.33,36,0.13,Master's,Full-time,Divorced,No,No,Other,No,0
B8F1LM4AQ0,65,37746,115775,583,67,1,7.24,60,0.4,High School,Full-time,Married,Yes,Yes,Auto,Yes,0
K5ASZMUH30,51,149780,146379,839,40,1,11.99,12,0.16,High School,Part-time,Divorced,No,No,Other,Yes,0
HMF23WLV7L,56,25493,107454,524,2,2,2.79,12,0.34,PhD,Full-time,Single,No,Yes,Auto,No,0
4BP5YUSKQ5,54,115501,69892,569,51,2,4.64,12,0.84,PhD,Full-time,Divorced,Yes,Yes,Auto,No,0
WAO7QS5RTK,37,113163,244939,560,23,1,8.99,60,0.86,High School,Full-time,Married,No,Yes,Auto,No,1
BGP6A5XKOJ,34,133067,87259,339,6,1,4.06,48,0.27,Bachelor's,Part-time,Divorced,Yes,Yes,Education,Yes,0
XO7PGAEHJF,41,67010,203823,827,70,1,14.91,48,0.76,PhD,Unemployed,Divorced,Yes,No,Business,Yes,0
LJ7VCHSGO2,20,111858,237200,706,79,2,9.94,24,0.46,Master's,Part-time,Single,Yes,Yes,Other,Yes,0
1X3E11R3BH,50,46618,133624,700,3,4,5.91,36,0.75,PhD,Part-time,Divorced,Yes,Yes,Other,No,0
2V0HMDG29G,19,118917,64101,619,74,1,14.93,48,0.4,PhD,Self-employed,Single,Yes,No,Other,No,0
DK5XG1AZPE,23,106841,102293,769,40,3,7.27,12,0.57,PhD,Unemployed,Divorced,Yes,Yes,Other,No,0
IBAYLH16PG,29,115353,178721,359,14,1,10.22,12,0.45,Master's,Full-time,Married,No,No,Other,No,1
K6BHQ2C9Z8,47,129514,18078,510,77,3,11.41,12,0.29,Master's,Unemployed,Married,Yes,No,Auto,Yes,0
FGS926BO3V,45,73761,181379,620,52,3,24.82,36,0.35,PhD,Part-time,Married,Yes,Yes,Education,Yes,0
4S4E7Q6BEM,23,113716,213416,301,4,2,12.06,24,0.63,PhD,Self-employed,Married,No,Yes,Home,No,0
N3K5Y0QR3X,53,133751,43860,525,86,1,5.83,12,0.27,PhD,Unemployed,Divorced,Yes,No,Other,Yes,0
DW471HHBQE,21,34316,137140,347,59,4,18.29,12,0.17,Master's,Part-time,Married,No,No,Other,Yes,0
9OPC1FQDNZ,36,145640,166414,489,116,1,23.73,12,0.7,Bachelor's,Self-employed,Divorced,No,Yes,Other,No,0
OA9WBG65EW,59,28310,188918,644,37,2,6.45,48,0.64,Bachelor's,Self-employed,Divorced,No,Yes,Business,Yes,0
P1H96CX8GY,29,26520,49528,761,18,4,16.41,48,0.18,Master's,Part-time,Married,No,No,Other,No,0
2E5FNENDDB,25,143623,162900,536,73,4,20.27,60,0.13,PhD,Self-employed,Married,Yes,Yes,Education,Yes,0
HHO4QJWTQU,38,100150,239688,612,3,4,22.84,48,0.4,Master's,Unemployed,Married,Yes,No,Education,No,0
95W66IE9V6,66,136721,247009,369,54,3,6.64,36,0.73,PhD,Full-time,Single,No,No,Education,No,0
X8DG8Q5MSD,19,22484,75861,562,66,1,21.95,60,0.81,Master's,Self-employed,Divorced,No,No,Auto,Yes,0
XZWGALP4MG,32,86094,74479,630,14,2,17.07,36,0.76,PhD,Self-employed,Single,No,No,Home,Yes,0
SUO77MGTUX,64,146145,16502,307,7,1,14.43,48,0.82,Master's,Full-time,Single,Yes,Yes,Education,Yes,0
QC6T8CRE9F,69,52543,91640,433,27,2,17.54,12,0.27,High School,Self-employed,Single,Yes,Yes,Auto,No,0
932H8X2SJU,60,146754,242257,443,57,1,8.6,36,0.61,Bachelor's,Unemployed,Divorced,Yes,Yes,Business,No,0
3YXJAKSG6J,63,147646,195498,556,64,4,19.49,36,0.47,Bachelor's,Full-time,Married,Yes,No,Education,Yes,0
L69AVSI4WI,45,76101,249331,670,89,2,10.65,60,0.71,PhD,Part-time,Single,No,No,Other,Yes,0
TXHDKF4X02,20,73647,205927,766,8,1,10.09,24,0.22,Bachelor's,Unemployed,Divorced,No,No,Other,No,1
3X70L0N90U,61,51859,127481,597,51,3,23.1,36,0.53,Master's,Part-time,Married,Yes,No,Auto,No,0
HBUBF40072,31,72034,180664,605,83,4,18.54,12,0.33,High School,Full-time,Single,Yes,No,Other,Yes,0
DN1855LCG7,37,79830,50872,317,53,4,13.75,12,0.42,PhD,Part-time,Single,No,Yes,Education,Yes,0
ID5S4KXC2F,66,46918,88124,357,38,3,24.75,60,0.23,PhD,Self-employed,Divorced,Yes,Yes,Other,Yes,1
WRV0S2LZIS,21,39624,106348,784,118,1,4.4,48,0.46,High School,Unemployed,Single,No,Yes,Auto,Yes,1
UK4YSLCPVG,50,96958,193647,549,87,3,13.87,60,0.31,High School,Self-employed,Divorced,No,No,Other,Yes,1
JTVCT36IT2,18,130134,11763,580,22,2,17.21,36,0.45,High School,Self-employed,Married,Yes,Yes,Business,No,0
2PQN6TTVQN,67,36401,18133,494,57,1,4.18,12,0.61,Master's,Full-time,Single,Yes,Yes,Education,No,0
LS3B777NI3,34,147083,73467,607,67,1,8.2,36,0.66,Master's,Full-time,Single,No,Yes,Business,Yes,0
CGNF2I33AQ,21,148126,149649,313,77,3,17.92,60,0.77,Bachelor's,Self-employed,Divorced,Yes,No,Business,No,0
STE0IZCMW1,69,17561,167024,459,7,3,13.67,60,0.47,High School,Unemployed,Divorced,No,No,Auto,No,0
PTO46RHNBM,28,118205,232948,526,23,3,23.22,60,0.86,Master's,Unemployed,Divorced,Yes,No,Other,No,1
55COTFDNXN,23,137997,49799,778,39,2,11.7,60,0.18,PhD,Unemployed,Single,No,No,Other,Yes,1
SQDVHCH4XK,60,103876,234957,422,9,2,21.94,12,0.57,PhD,Part-time,Married,No,Yes,Auto,No,0
C22BMCMXWP,61,106190,134886,633,12,3,15.99,24,0.79,Master's,Part-time,Single,No,No,Business,No,0
EYYSZJM9AV,33,26633,51881,712,17,2,18.16,48,0.14,Bachelor's,Part-time,Single,Yes,Yes,Auto,Yes,0
RWW2I6149X,37,90972,153634,349,102,4,21.37,24,0.16,Bachelor's,Full-time,Married,Yes,No,Business,No,0
A6HB3T9UQX,55,85066,95536,576,33,1,14.03,36,0.3,Bachelor's,Self-employed,Single,No,No,Business,No,0
46PJQT4MWA,66,69547,176643,648,32,4,11.4,36,0.76,PhD,Part-time,Single,No,Yes,Other,No,0
AXYRYXJJ9K,35,56780,205072,638,100,4,6.28,60,0.69,Bachelor's,Full-time,Single,Yes,Yes,Education,No,0
B2SZ34NZP4,34,112098,130920,343,93,3,5.67,24,0.37,Bachelor's,Unemployed,Single,No,No,Other,No,0
IT0QLKBTQ7,55,93918,7224,646,57,2,16.58,24,0.64,Master's,Unemployed,Married,Yes,No,Other,Yes,0
ILPVZJM2Z3,36,120138,96195,765,100,4,10.13,36,0.61,High School,Unemployed,Single,No,No,Other,Yes,0
H5DZK3CRTY,67,36849,207752,668,111,2,20.21,24,0.8,Master's,Self-employed,Single,Yes,Yes,Home,Yes,0
Z4MXX5NS1U,36,121770,107948,506,84,4,21.93,60,0.16,Master's,Part-time,Single,No,No,Business,Yes,0
LF2WPEEU5I,26,28832,88901,451,3,4,16.45,12,0.74,High School,Self-employed,Married,Yes,Yes,Business,No,1
W4IM3FBSR4,58,71804,229763,767,29,2,9.37,12,0.32,High School,Unemployed,Married,No,Yes,Business,No,0
QOV3KEPPYB,43,32561,26945,392,103,2,20.73,24,0.53,High School,Self-employed,Married,No,No,Auto,No,1
2VAI8G8LCE,35,59749,6027,711,89,2,16.81,60,0.84,PhD,Full-time,Married,No,Yes,Other,No,0
D6U4DS6VX3,41,71285,204690,548,9,2,7.45,36,0.57,PhD,Full-time,Single,No,Yes,Other,No,0
8KDN4G3R3L,31,68708,101684,670,9,3,3.43,60,0.74,Bachelor's,Unemployed,Married,Yes,No,Business,Yes,0
0QZ0XPCMLO,34,145990,169146,398,12,2,12.85,36,0.73,PhD,Self-employed,Single,Yes,Yes,Education,Yes,0
4Y1J8Q6C25,54,47674,152257,471,47,4,21.45,48,0.1,High School,Unemployed,Divorced,No,Yes,Auto,Yes,0
SS71UEN04M,19,127747,203185,722,32,1,6.38,48,0.67,Bachelor's,Self-employed,Single,No,No,Home,Yes,0
